date,startup,industry,subvertical,city,investors,investment_type,amount
14-10-2016,isfc,finance,Education Sector Lending,Hyderabad,Gray Matters Capital,Private Equity,6000000
15-10-2016,daily hunt,consumer internet,Vernacular content mobile app,Bengaluru,ByteDance,Private Equity,25000000
15-10-2016,tazzo bikes,consumer internet,Motorbike rental platform,Hyderabad,DSG Consumer Partners,Seed Funding,227000
15-10-2016,mykindofjob,consumer internet,Internet & Fresher Job platform,Mumbai,Mayank Shah,Seed Funding,1000000
17-10-2016,yumigo,consumer internet,App based Travel Discovery and Transactions platform,Gurugram,Hemant Sahni,Seed Funding,300000
17-10-2016,rentalpha,others,equipment rental and leasing company,Mumbai,Bravia Capital,Private Equity,16000000
18-10-2016,3dexter,technology,3D Printing Solutions for Edu space,New Delhi,Newbie Promoters,Seed Funding,150000
18-10-2016,mysun,technology,Solar Energy harnessing products marketplace,Noida,General Catalyst Partners,Private Equity,2500000
19-10-2016,furlenco,consumer internet,Online Furniture Rental platform,Bengaluru,Lightbox Ventures,Private Equity,30000000
19-10-2016,fisdom,consumer internet,Personal Wealth Management Platform & App,Bengaluru,Saama Capital,Private Equity,1100000
19-10-2016,actofit,technology,Wearable Technology platform & devices,Mumbai,Next Orbit Ventures Fund,Private Equity,750000
21-10-2016,chatongo,consumer internet,Hyperlocal Communication Mobile app,Mumbai,Janak Jain,Seed Funding,300000
24-10-2016,healthians,consumer internet,Health Test Discovery & Ordering service,Gurugram,BEENEXT,Private Equity,3000000
24-10-2016,box8,consumer internet,Online Food Ordering platform/App,Mumbai,IIFL Seed Ventures Fund,Private Equity,7500000
25-10-2016,kredx,ecommerce,Invoice discounting marketplace,Bengaluru,Sequoia Capital,Private Equity,6000000
25-10-2016,creditmate,consumer internet,Credit Report Info platform,Mumbai,India Quotient,Seed Funding,500000
25-10-2016,soopermo,technology,Android utility app suite creator,Gurugram,Lalit Vase,Seed Funding,100000
26-10-2016,orangetwig,consumer internet,Social Media Marketing platform,New Delhi,Undisclosed investor,Seed Funding,1000000
26-10-2016,the kettlery,ecommerce,Online Tea Etailer,Ahmedabad,hooting Starts Sports LLP,Private Equity,1000000
27-10-2016,idea bubbles,consumer internet,Doctor Consulting platform,Bengaluru,1Crowd,Private Equity,700000
27-10-2016,fr8,technology,Truck Fleet Operation platform,Chennai,Omnivore Partners,Private Equity,971000
27-10-2016,ather energy,technology,Electric Vehicle Manufacturer,Bengaluru,Hero MotoCorp,Private Equity,27000000
29-10-2016,velmenni,technology,LiFi based wireless communication provider,New Delhi,Kalaari Capital,Seed Funding,100000
29-10-2016,volta motors,technology,Electric Bike Manufacturer,Chennai,Kalaari Capital,Seed Funding,100000
29-10-2016,cyclops,technology,Clinical and Wearable Diagnostic Product creator,Bengaluru,Kalaari Capital,Seed Funding,100000
30-10-2016,impact analytics,technology,Business intelligence and data science Startup,Bengaluru,Aarin Capital,Private Equity,750000
31-10-2016,talent next,consumer internet,Talent Discovery & Audition management platform,Mumbai,Karanpal Singh & Others,Seed Funding,1000000
01-09-2016,mihup,technology,Personal Digital Assistant,Kolkata,Accel Partners,Private Equity,6700000
06-09-2016,eshakti,ecommerce,Womenxe2x80x99s Fashion Apparel eTailer,Chennai,Infina Finance Pvt. Ltd,Private Equity,1350000
06-09-2016,cheersoye!,consumer internet,Online Gift Vouchers platform,Mumbai,Undisclosed Investors,Seed Funding,500000
06-09-2016,bigstylist,consumer internet,Hyperlocal doorstep Beauty Services provider,Mumbai,Info Edge (India) Ltd,Private Equity,900000
07-09-2016,zilingo,ecommerce,Online Fashion Retailer,Bengaluru,Venturra Capital,Private Equity,8000000
07-09-2016,alternacare,consumer internet,Online Doctor Consulting platform,New Delhi,Eros Labs,Seed Funding,500000
07-09-2016,simplilearn,education,Online Certification programs,Bengaluru,InnoVen Capital India,Private Equity,6000000
07-09-2016,prozo,ecommerce,Study Material Marketplace,Gurugram,Earlsfield Capital,Seed Funding,315000
08-09-2016,toprankers,education,Online Test Preparation platform,Bengaluru,CareerNet Consulting Pvt. Ltd,Seed Funding,670000
08-09-2016,buildtraders,ecommerce,Online Construction Materials Marketplace,Bengaluru,Idein Ventures,Seed Funding,200000
09-09-2016,byju's,education,Online Learning App,Bengaluru,Chan Zuckerberg Initiative,Private Equity,50000000
10-09-2016,cureinstant,consumer internet,Social Health Networking Platform,New Delhi,Dr. Rameshwar Kumar,Seed Funding,150000
10-09-2016,poshtic,consumer internet,Online health & Wellness platform,Noida,havya Sharma,Seed Funding,450000
12-09-2016,purple style labs,consumer internet,Personal Styling Online platform,Mumbai,Augment Ventures,Seed Funding,448000
12-09-2016,inuxu,technology,Online Advertising Solutions,Pune,Fork Media,Private Equity,3000000
12-09-2016,nykaa,ecommerce,Online Beauty products eTailer,Mumbai,Sunil Munjal,Private Equity,12300000
12-09-2016,glam studios,consumer internet,Beauty Salon Aggregator,Noida,Pradeep Mirani,Seed Funding,300000
13-09-2016,nearbuy,consumer internet,Online Deals & Discount platform,Gurugram,BlackSoil Capital Pvt. Ltd.,Private Equity,2500000
14-09-2016,flocareer,consumer internet,Jobs & Skill Validation platform,Bengaluru,Balasubramanian Krishnamurthy,Seed Funding,150000
15-09-2016,infeedo,consumer internet,Employee engagement platform,Gurugram,Dheeraj Jain,Seed Funding,200000
15-09-2016,furlenco,ecommerce,Online furniture rental startup,Bengaluru,Lightbox Ventures and others,Private Equity,5000000
15-09-2016,gopigeon,consumer internet,on-demand logistics service provider,Bengaluru,Nexus Venture Partners,Private Equity,1500000
16-09-2016,newsdistill,consumer internet,City based News Aggregator App,Hyderabad,Ganesh Narasimhan,Seed Funding,100000
16-09-2016,doctorinsta,consumer internet,Online Doctor Consultations,Gurugram,RoundGlass Partners,Private Equity,1000000
19-09-2016,milofy,consumer internet,Couple Socialization App,Bengaluru,Accel Partners,Seed Funding,750000
19-09-2016,swiggy,consumer internet,Online Food Ordering & Delivery,Bengaluru,Bessemer Venture Partners,Private Equity,15000000
20-09-2016,justlikenew,ecommerce,Online gadget Repair Services Marketplace,Hyderabad,LetsVenture,Seed Funding,500000
21-09-2016,co life,consumer internet,shared living and working spaces platform,Bengaluru,Undisclosed Investors,Seed Funding,1000000
21-09-2016,pepperfry,ecommerce,Furniture eTailer,Mumbai,Goldman Sachs Group,Private Equity,31300000
21-09-2016,equickies,ecommerce,Online Book etailer,Ahmedabad,Lothal Angel Ventures,Seed Funding,298000
21-09-2016,khel now,consumer internet,Mobile-based social networking platform,New Delhi,Anglian Omega Network,Seed Funding,350000
22-09-2016,gadgetwood,consumer internet,On-Demand Gadget repair services platform,New Delhi,Carpediem Capital,Private Equity,6000000
22-09-2016,flixy games,technology,Mobile Game Publisher for Indian audience,Bengaluru,Rebright Partners,Seed Funding,425000
22-09-2016,hashtaag,technology,Mobile App Development company,Bengaluru,Undisclosed investors,Seed Funding,1000000
22-09-2016,pharmarack,technology,SAAS application for Pharma Industry,Pune,Currae Healthtech Fund,Private Equity,745000
23-09-2016,cloudcherry,technology,CRM SAAS Platform,Chennai,Vertex Ventures,Private Equity,6000000
27-09-2016,tinystep,consumer internet,Parenting Network Platform,Bengaluru,Flipkart Logistics Pvt. Ltd,Private Equity,1580000
28-09-2016,beardo,ecommerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding,500000
28-09-2016,instacar,consumer internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed Funding,1000000
28-09-2016,celes care,consumer internet,Virtual Health Clinic for Women,Hyderabad,Endiya Partners,Seed Funding,1000000
28-09-2016,druva,technology,Cloud Based Data Protection Solution,Pune,Sequoia India,Private Equity,51000000
29-09-2016,promon,ecommerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding,180000
29-09-2016,unocoin,consumer internet,Bitcoin Wallet,Bengaluru,Blume Ventures,Private Equity,1500000
